model_id,architecture_type,IsDeepSeekBase,IsDeepSeekTrained,IsLlama70Base,IsQwen72Base,IsLlama405Base,total_params,active_params,mlp_neurons_total,Params/stream,cache_compression,key_head_diversity,stream_compress,num_hidden_layers,num_dense_layers,hidden_size,mlp_intermediate_size,num_experts * moe_intermediate size,moe_intermediate_size,num_local_experts,num_experts_per_tok,n_shared_experts,num_attention_heads,num_key_value_heads,head_dim,num_mtp_modules,hidden_act,vocab_size,context_length,rope_theta,attention_mechanism,positional_encoding,normalization,attention_bias,training_tokens,KVLoRA_rank,QLoRA_rank,share_q_dim,first_k_dense_replace,,release_date,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek/deepseek-r1-distill-qwen-32b,Dense,0,1,0,0,0,"32,000,000,000","32,000,000,000","1,769,472","6,250,000",0.200,0.008,0.185,64,64,5120,27648,27648,,,,,40,8,128,,silu,152064,131072,1000000.0,GQA,RoPE (Rotary),RMSNorm,,,,,,,,"January 19-20, 2025",Uses sliding window attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z-ai/glm-4-32b,Dense,0,0,0,0,0,"32,000,000,000","32,000,000,000","1,405,440","5,208,333.33333333",0.042,0.002,0.267,61,61,6144,23040,23040,,,,,48,2,128,,silu,151552,32768,10000.0,GQA,RoPE (Rotary),RMSNorm,FALSE,,,,,,,"April 14, 2025",Extreme GQA: only 2 KV heads for 48 query heads; Partial RoPE with factor 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvidia/OpenReasoning-Nemotron-32B:featherless-ai,Dense,0,0,0,0,0,"32,000,000,000","32,000,000,000","1,769,472","6,250,000",0.200,0.008,0.185,64,64,5120,27648,27648,,,,,40,8,128,,silu,152064,131072,1000000.0,GQA,RoPE (Rotary),RMSNorm,,,,,,,,"July 18, 2025","Qwen2.5-32B derivative; Reasoning model for math, code and science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentica-org/DeepSWE-Preview:featherless-ai,Dense,0,0,0,0,0,"32,000,000,000","32,000,000,000","1,638,400","6,250,000",0.125,0.008,0.200,64,64,5120,25600,25600,,,,,64,8,128,,silu,151936,40960,1000000,GQA,RoPE (Rotary),RMSNorm,FALSE,,,,,,,"July 1, 2025",Qwen3 architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniMaxAI/SynLogic-Mix-3-32B:featherless-ai,Dense,0,0,0,0,0,"32,000,000,000","32,000,000,000","1,769,472","6,250,000",0.200,0.008,0.185,64,64,5120,27648,27648,,,,,40,8,128,,silu,152064,131072,1000000.0,GQA,RoPE (Rotary),RMSNorm,,,,,,,,Jun 3,Qwen2.5-32B based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen/qwen3-32b,Dense,0,0,0,0,0,"32,000,000,000","32,000,000,000","1,638,400","6,250,000",0.125,0.008,0.200,64,64,5120,25600,25600,,,,,64,8,128,,silu,151936,40960,1000000,GQA,RoPE (Rotary),RMSNorm,FALSE,,,,,,,"April 28, 2025",Qwen3ForCausalLM architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arcee-ai/Arcee-SuperNova-v1:featherless-ai,Dense,0,0,1,0,0,"70,000,000,000","70,000,000,000","2,293,760","8,544,921.875",0.125,0.008,0.286,80,80,8192,28672,28672,,,,,64,8,128,,silu,128256,131072,500000.0,GQA,RoPE (Rotary),RMSNorm,FALSE,,,,,,,Jun 10,Llama 3.1 70B based; RoPE scaling llama3 factor 8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek/deepseek-r1-distill-llama-70b,Dense,0,1,1,0,0,"70,000,000,000","70,000,000,000","2,293,760","8,544,921.875",0.125,0.008,0.286,80,80,8192,28672,28672,,,,,64,8,128,,silu,128256,131072,500000.0,GQA,RoPE (Rotary),RMSNorm,FALSE,,,,,,,"January 20, 2025",Llama architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thedrummer/anubis-70b-v1.1,Dense,0,0,1,0,0,"70,000,000,000","70,000,000,000","2,293,760","8,544,921.875",0.125,0.008,0.286,80,80,8192,28672,28672,,,,,64,8,128,,silu,128256,131072,500000.0,GQA,RoPE (Rotary),RMSNorm,FALSE,,,,,,,"January 8, 2025",Llama architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nousresearch/hermes-4-70b,Dense,0,0,1,0,0,"70,000,000,000","70,000,000,000","2,293,760","8,544,921.875",0.125,0.008,0.286,80,80,8192,28672,28672,,,,,64,8,128,,silu,128256,131072,500000.0,GQA,RoPE (Rotary),RMSNorm,FALSE,,,,,,,"August 26, 2025",Llama architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepcogito/cogito-v2-preview-llama-70b,Dense,0,0,1,0,0,"70,000,000,000","70,000,000,000","2,293,760","8,544,921.875",0.125,0.008,0.286,80,80,8192,28672,28672,,,,,64,8,128,,silu,128256,131072,500000.0,GQA,RoPE (Rotary),RMSNorm,FALSE,,,,,,,"September 2, 2025",Llama architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI-MO/Kimina-Prover-72B:featherless-ai,Dense,0,0,0,1,0,"72,000,000,000","72,000,000,000","2,365,440","8,789,062.5",0.125,0.008,0.277,80,80,8192,29568,29568,,,,,64,8,128,,silu,152064,131072,1000000.0,GQA,RoPE (Rotary),RMSNorm,,,,,,,,"April 14, 2025",Qwen2.5-72B based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moonshotai/Kimi-Dev-72B:featherless-ai,Dense,0,0,0,1,0,"72,000,000,000","72,000,000,000","2,365,440","8,789,062.5",0.125,0.008,0.277,80,80,8192,29568,29568,,,,,64,8,128,,silu,152064,131072,1000000.0,GQA,RoPE (Rotary),RMSNorm,,,,,,,,"June 17, 2025",Qwen2.5-72B based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbabel/Tower-Plus-72B:featherless-ai,Dense,0,0,0,1,0,"72,000,000,000","72,000,000,000","2,365,440","8,789,062.5",0.125,0.008,0.277,80,80,8192,29568,29568,,,,,64,8,128,,silu,152064,32768,10000.0,GQA,RoPE (Rotary),RMSNorm,,,,,,,,"June 20, 2025",Qwen2.5-72B based; Translation model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen/qwen-2.5-72b-instruct,Dense,0,0,0,1,0,"72,000,000,000","72,000,000,000","2,365,440","8,789,062.5",0.125,0.008,0.277,80,80,8192,29568,29568,,,,,64,8,128,,silu,152064,32768,1000000.0,GQA,RoPE (Rotary),RMSNorm,,,,,,,,"September 19, 2024",Qwen2ForCausalLM architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthracite-org/magnum-v4-72b,Dense,0,0,0,1,0,"72,000,000,000","72,000,000,000","2,365,440","8,789,062.5",0.125,0.008,0.277,80,80,8192,29568,29568,,,,,64,8,128,,silu,152064,32768,1000000.0,GQA,RoPE (Rotary),RMSNorm,,,,,,,,"October 21, 2024",Qwen2ForCausalLM architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inclusionai/ring-flash-2.0,Mixture-of-experts,0,0,0,0,0,"100,000,000,000","6,000,000,000","8,388,608","24,414,062.5",0.125,0.004,0.500,32,,4096,9216,9216,1024,256,8,1,32,4,128,,silu,157184,32768,600000,GQA,RoPE (Rotary),RMSNorm,,,,,,,,"September 29, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z-ai/glm-4.5-air,Mixture-of-experts,0,0,0,0,0,"106,000,000,000","12,000,000,000","8,290,304","25,878,906.25",0.083,0.008,0.416,46,,4096,10944,11264,1408,128,7,1,96,8,128,,silu,151552,131072,1000000,GQA,RoPE (Rotary),RMSNorm,TRUE,,,,,,,"July 25, 2025",num_local_experts from n_routed_experts; Has 1 shared expert(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/llama-4-scout,Mixture-of-experts,0,0,0,0,0,"109,000,000,000","17,000,000,000","6,291,456","21,289,062.5",0.200,0.008,0.625,48,,5120,8192,8192,8192,16,1,0,40,8,128,,silu,202048,10485760,500000.0,GQA,RoPE (Rotary),RMSNorm,FALSE,,,,,,,"April 5, 2025","Multimodal model (vision + text); Vision encoder: 34 layers, 1408 hidden size; MoE intermediate: 8192, MLP intermediate listed as 16384 in config but not used in architecture according to Manus research; Interleaved MoE layers (step: 1); RoPE scaling: llama3 with factor 16.0; Uses QK normalization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
